,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2023-03-01,149866.75010871887,148129.89857006073,146020.39634132385,143670.38674163818,134136.07028770447,128857.38393974304,110160.19361693852
2023-03-02,152186.04962348938,150446.126994133,147762.78281402588,144993.00394248962,135292.69911956787,129932.61138343811,111016.94697515175
2023-03-03,154134.27202796936,152379.41710186005,149479.37275886536,146951.2937927246,137040.91974830627,131641.3421459198,112797.39779174837
2023-03-06,154428.77343559265,152667.52397823334,149504.03971672058,146976.43044281006,137097.53793525696,131658.46832084656,112875.54944706883
2023-03-07,152019.036611557,150262.65061092377,147119.49340438843,144836.255361557,135257.84000968933,129923.41104888916,111145.30670559985
2023-03-08,152112.1224193573,150361.77789974213,147233.89354324338,144989.9226284027,135445.74690437317,130131.38319015503,111326.71848366829
2023-03-09,149031.4036617279,147291.58994960785,143839.34727287292,141773.64176940918,132606.54714488983,127600.92142772675,109272.75902276851
2023-03-10,145799.80370140076,144066.23584651947,140898.3891944885,138841.86256980896,129843.59090805054,125199.4921169281,107696.01105835733
2023-03-13,143678.51325035095,141951.36488246918,139229.30216407776,137178.41583633423,128293.16311073303,123792.56498908997,107542.51628129954
2023-03-14,144701.9647922516,142961.3807477951,140234.89310264587,138466.7018547058,129622.5782327652,125004.96977710724,109320.21172267743
2023-03-15,142210.9991092682,140478.9900007248,137323.8940563202,135552.76805114746,126909.6605052948,122755.67712211609,108636.47998069288
2023-03-16,143348.0475101471,141607.91804790497,138803.4291973114,137347.7915916443,128688.64243793488,124123.92509555817,110542.52629279149
2023-03-17,139905.26496315002,138184.10518932343,136181.80166625977,135115.59642601013,126663.72731018066,122438.57158851624,109249.97180391758
2023-03-20,142255.91476631165,140520.96240520477,138085.27898979187,137138.51084136963,128591.12045574188,124157.22159099579,110300.47854045559
2023-03-21,143956.19304084778,142218.01182079315,140055.54251670837,138691.40576553345,130098.42691421509,125486.43001556396,111748.79589659953
2023-03-22,140677.5695400238,138952.42000484467,137127.32564163208,136075.42071723938,127575.96674156189,123265.96368789673,109843.87476987965
2023-03-23,140789.50670814514,139056.353556633,137025.40530204773,136199.40356063843,127349.30869579315,123229.57412624359,110140.8173931333
2023-03-24,140997.43803977966,139262.41441249847,137465.802236557,136688.21966171265,127977.67598628998,123695.96109485626,110863.54965509524
2023-03-27,141993.61424446106,140253.7688856125,138374.65237617493,137335.57019805908,128543.69927978516,124113.80666542053,111070.85841632905
2023-03-28,142263.23728752136,140524.4996023178,138619.857088089,137625.65494155884,128825.13515090942,124323.73274993896,110821.54568753213
2023-03-29,144136.78431892395,142390.08308696747,140713.68397331238,139405.26054382324,130244.74417972565,125586.4043302536,112432.31500512667
2023-03-30,144241.13989067078,142494.8266439438,140754.58412742615,139604.30814361572,130492.82991409302,125874.15552902222,113090.65476840716
2023-03-31,146349.04098701477,144586.37120723724,142317.38314056396,141059.78808784485,131799.1093788147,127019.70713996887,114684.61718314004
2023-04-03,146383.59351921082,144620.07720851898,142447.52622032166,141270.21389770508,132051.10424613953,127260.6521244049,115121.64095618077
2023-04-04,145638.01256752014,143879.88765621185,140964.79816627502,139977.99578094482,130809.29896259308,126087.03124332428,114482.91662934507
2023-04-05,145295.55940055847,143542.19013500214,140340.10964775085,139513.4361782074,130725.4375,126028.17221450806,114183.1831919631
2023-04-06,144423.7398700714,142667.6696844101,140075.19254112244,139499.564371109,130836.25161933899,126143.3902797699,114628.58826711617
2023-04-10,146383.3078098297,144615.63331890106,142335.48560714722,141410.0796585083,132413.6187057495,127430.92281723022,114746.23658714796
2023-04-11,146683.7789592743,144922.16303157806,142595.2843055725,141435.43238830566,132385.12363433838,127427.82167625427,114777.0507190156
2023-04-12,146564.077627182,144802.5594816208,142436.91300201416,141215.57482528687,132208.57946395874,127214.98467063904,114309.22167383463
2023-04-13,148265.91431999207,146487.06968212128,143924.62078475952,142650.777633667,133442.3504600525,128223.06053352356,115827.55745555362
2023-04-14,147917.00485038757,146139.3645772934,143218.3403263092,142043.67888069153,133063.1652317047,127907.81974220276,115544.63092103333
2023-04-17,149762.0909099579,147971.94987010956,144529.37467193604,143265.89324188232,134047.07011032104,128788.81022834778,115959.22186431877
