Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
BG,11.260135,11.148201,1.2264949,0.32165185,17.021,0.09758,0.02201,0.02194,0.716,-0.46,Consumer Defensive
NKE,38.549706,28.33599,6.9258246,2.0980558,26.398,0.17950001,0.05426,0.08095,0.006,-0.321,Consumer Cyclical
SYK,48.296978,24.603739,6.451919,5.764981,23.414,0.14036,0.12071,0.22272,0.102,0.028,Healthcare
GEV,101.0552,47.564434,19.534927,4.498524,55.712,0.16723,0.045229997,0.05738,0.118,,Industrials
CMI,28.650234,21.095497,6.317036,2.2693915,15.718,0.22767,0.079450004,0.12132,-0.016,-0.341,Industrials
HIG,11.150572,10.261561,2.1032643,1.3612834,7.87,0.20069,0.12745,0.18916,0.07,0.473,Financial Services
NWS,36.385544,25.42002,1.9564655,1.9783832,15.929,0.070250005,0.138,0.10448,0.023,-0.052,Communication Services
AON,28.08647,18.434498,9.509094,4.4422016,16.957,0.3769,0.15962,0.20365,0.074,0.344,Financial Services
PKG,22.178968,19.41525,4.122268,2.2500339,12.513,0.19811001,0.10185,0.15683,0.06,-0.049,Consumer Cyclical
VTRS,,5.187688,0.9719683,1.0429472,7.011,-0.21087,-0.26134002,0.107609995,0.002,,Healthcare
NSC,21.924427,22.111088,4.2564135,5.269508,14.203,0.2048,0.24219,0.36578,0.017,-0.349,Industrials
DAY,,25.478222,4.1218386,5.867864,105.013,-0.05706,-0.07912,-0.25831,0.095,,Technology
WEC,19.820076,18.72867,2.5089307,3.565657,14.754,0.12807,0.17748,0.22163,0.129,0.093,Utilities
DHR,49.04732,28.303389,3.2965922,7.033345,24.251,0.06843,0.14435,0.2075,0.044,0.134,Healthcare
INTU,44.429947,24.470337,9.324416,9.267584,,0.21987,0.21191,0.15697,0.41,-0.185,Technology
CCI,,24.358078,-24.37937,5.6754723,17.021,-2.06679,-0.71931,0.49254,-0.043,0.066,Real Estate
GS,19.084959,16.857702,2.698071,4.957515,,0.13532,0.29073998,0.37203997,0.207,0.458,Financial Services
TTD,42.375,17.870409,6.9506063,6.5338283,27.374,0.16783,0.15717,0.21802999,0.177,0.211,Communication Services
HOLX,30.068274,14.988599,3.301001,4.0728984,12.664,0.11116,0.13796,0.32736,0.062,0.111,Healthcare
DXCM,37.444447,27.217148,9.642346,5.8529344,24.988,0.30635,0.15958999,0.20053,0.216,1.099,Healthcare
TRMB,55.212326,23.324652,3.3121047,5.327193,26.141,0.06131,0.099309996,0.18364,0.029,1.875,Technology
SPGI,39.35657,27.254751,4.962548,11.021468,23.708,0.119940005,0.28091,0.44316003,0.088,0.241,Financial Services
TDY,31.845709,23.205143,2.4407833,4.2923093,19.165,0.08127,0.13616,0.18545,0.067,-0.161,Technology
ICE,30.233152,22.139875,3.3028874,9.744696,18.673,0.114930004,0.32431,0.49067003,0.026,0.246,Financial Services
PWR,62.510353,33.90104,7.5050173,2.3173661,27.79,0.13369,0.03744,0.07105,0.175,0.149,Industrials
TSLA,302.7279,203.83104,18.497381,15.4760685,134.928,0.06791,0.05314,0.06628,0.116,-0.371,Consumer Cyclical
CHRW,34.568825,28.495054,10.889555,1.2223296,24.725,0.34318,0.03636,0.05578,-0.109,0.675,Industrials
VST,59.84532,17.675207,20.6082,3.2790644,14.556,0.1731,0.06701,0.21042,-0.209,-0.667,Utilities
TER,78.71739,42.320023,12.572188,12.085839,53.207,0.15767999,0.15495,0.18892,0.043,-0.157,Technology
SO,21.64428,19.006199,2.7371964,3.313635,12.27,0.11429,0.15422,0.36558998,0.075,0.108,Utilities
BK,17.17749,14.387497,2.12617,4.254174,,0.121520005,0.26568002,0.37402,0.1,0.253,Financial Services
FANG,10.351827,13.110407,1.0818765,2.9176226,6.123,0.10901,0.28689,0.36628,0.42,0.1,Energy
MPWR,24.633186,46.045837,12.875536,17.264904,60.367,0.64029,0.7122,0.26477,0.189,0.258,Technology
DD,25.3237,20.23996,0.8015442,1.4292074,7.96,0.03217,-0.060110003,0.17773001,0.073,,Basic Materials
MCK,25.509848,18.629202,-58.190243,0.26222348,16.572,,0.01042,0.013739999,0.101,3.77,Healthcare
RF,12.563877,10.965309,1.426214,3.6643102,,0.11401,0.31044,0.46976003,0.156,,Financial Services
GIS,9.591397,11.931578,2.5544102,1.267409,10.401,0.27173,0.1351,0.17874001,-0.072,-0.458,Consumer Defensive
DOC,,66.84,1.52854,4.1457353,14.295,-0.00115,-0.01359,0.18601999,0.008,,Real Estate
KHC,,9.325476,0.66898996,1.101622,7.644,-0.09693,-0.1735,0.17637,-0.023,,Consumer Defensive
CPT,44.048584,81.36648,2.6004446,7.3652883,17.213,0.059310004,0.1705,0.15994,0.021,,Real Estate
IEX,29.226267,22.18531,3.4534917,4.064629,16.529,0.12197,0.13974,0.21418,0.101,0.083,Industrials
SBUX,54.527607,29.666815,-12.47964,2.7179527,22.776,,0.04992,0.10976,0.055,-0.854,Consumer Cyclical
ES,18.72652,13.617071,1.5864362,1.9343654,12.029,0.0861,0.102189995,0.22489001,0.051,,Utilities
EPAM,32.355724,16.974987,3.140262,2.228041,15.272,0.10207,0.070149995,0.10682,0.194,-0.194,Technology
AXON,199.9019,83.76207,16.45926,19.617111,695.252,0.10028,0.100509994,-0.00229,0.306,,Industrials
